session_token,attack_type,true_label,feat_pred,feat_prob,fusion,best_clf
1770102907751-5ua5kyxye1,tts,1,1,0.950784,Trimodal (F+V+K),Logistic Regression
1770445800354-dydxxootb0g,tts,1,1,0.88787,Trimodal (F+V+K),Logistic Regression
1769879150923-hkfhersf7f4,replay,1,1,0.720952,Trimodal (F+V+K),Logistic Regression
1769715316109-lepldmgac6,tts,1,1,0.979773,Trimodal (F+V+K),Logistic Regression
1770088231254-ksqawp9z6n,tts,1,1,0.969789,Trimodal (F+V+K),Logistic Regression
1769877786806-vedpgl0db5r,tts,1,1,0.987982,Trimodal (F+V+K),Logistic Regression
1769877447533-dk8kd071f4e,tts,1,1,0.986982,Trimodal (F+V+K),Logistic Regression
1769877776957-cfu3881h8h4,tts,1,1,0.927099,Trimodal (F+V+K),Logistic Regression
1769879312929-njjzxjw5exi,tts,1,1,0.995839,Trimodal (F+V+K),Logistic Regression
1769877746312-17s72lus0oz,tts,1,1,0.994436,Trimodal (F+V+K),Logistic Regression
1770446113415-851a51rt5u4,tts,1,1,0.851777,Trimodal (F+V+K),Logistic Regression
1769878532354-0sianq32je2,replay,1,1,0.996475,Trimodal (F+V+K),Logistic Regression
1769868225913-vpvxtwhl39,tts,1,1,0.982133,Trimodal (F+V+K),Logistic Regression
1769877813423-fzmq80fcxer,replay,1,1,0.993393,Trimodal (F+V+K),Logistic Regression
1769879032156-o2qh72vloxb,replay,1,1,0.899775,Trimodal (F+V+K),Logistic Regression
1769921310778-vis108tj3r,replay,1,1,0.992332,Trimodal (F+V+K),Logistic Regression
1769884026520-t9ty3jhfk,tts,1,1,0.99626,Trimodal (F+V+K),Logistic Regression
1770445671449-gz2dwbwj91j,tts,1,1,0.951929,Trimodal (F+V+K),Logistic Regression
1769877785185-0we92xpmfk1,tts,1,1,0.989218,Trimodal (F+V+K),Logistic Regression
1770445648100-ok0k52ovsd7,tts,1,1,0.978961,Trimodal (F+V+K),Logistic Regression
1769827464685-t4iir7dsiek,tts,1,1,0.994237,Trimodal (F+V+K),Logistic Regression
1769884198839-gbpaaesaa4,replay,1,1,0.997881,Trimodal (F+V+K),Logistic Regression
1770626604878-066mir6831a,tts,1,1,0.975901,Trimodal (F+V+K),Logistic Regression
1770087651128-1o6x4ah0kle,tts,1,1,0.906021,Trimodal (F+V+K),Logistic Regression
1769879335590-h4i23wgvh1,genuine,0,0,0.00387,Trimodal (F+V+K),Logistic Regression
1769877836738-ngh2n3zgsbb,genuine,0,0,0.047949,Trimodal (F+V+K),Logistic Regression
1770087965227-1baaery53s3i,genuine,0,1,0.706228,Trimodal (F+V+K),Logistic Regression
1770088530588-5efqabvflf3,genuine,0,0,0.008011,Trimodal (F+V+K),Logistic Regression
1769877783602-qg04uh9094,genuine,0,0,0.007675,Trimodal (F+V+K),Logistic Regression
1770583681000-kkbdy2g8w6,synthetic,1,1,0.994223,Trimodal (F+V+K),Logistic Regression
1771426980393-nzuzo8hi3mr,synthetic,1,1,0.790537,Trimodal (F+V+K),Logistic Regression
1770188000031-tgsearqo8in,synthetic,1,1,0.99106,Trimodal (F+V+K),Logistic Regression
1770445778272-8f5hwjpivtu,synthetic,1,1,0.996779,Trimodal (F+V+K),Logistic Regression
1770217531977-wk28pni9c7d,synthetic,1,1,0.764572,Trimodal (F+V+K),Logistic Regression
1770282071874-i2g3l36xe6i,synthetic,1,1,0.99278,Trimodal (F+V+K),Logistic Regression
1770364827761-mr9ug9dhlib,synthetic,1,1,0.989267,Trimodal (F+V+K),Logistic Regression
1770557958937-o7zm1xx7z5,synthetic,1,1,0.748328,Trimodal (F+V+K),Logistic Regression
1769877799465-s8yspj7o21s,synthetic,1,1,0.986776,Trimodal (F+V+K),Logistic Regression
1770477453315-sydj4jcvtoi,synthetic,1,1,0.996595,Trimodal (F+V+K),Logistic Regression
1770445820698-5jlwq1lbbr3,synthetic,1,1,0.932762,Trimodal (F+V+K),Logistic Regression
1770380045217-37yshqp9c7a,synthetic,1,1,0.995113,Trimodal (F+V+K),Logistic Regression
1770301371712-34a8ac6kmjn,synthetic,1,1,0.982706,Trimodal (F+V+K),Logistic Regression
1769877779645-a7eplt7s9je,synthetic,1,1,0.995869,Trimodal (F+V+K),Logistic Regression
1770646563111-v924d5zyos,genuine,0,0,0.004676,Trimodal (F+V+K),Logistic Regression
1769878778942-38puz883s92,genuine,0,0,0.016607,Trimodal (F+V+K),Logistic Regression
1769878005554-ul2tq32hw5g,genuine,0,0,0.00815,Trimodal (F+V+K),Logistic Regression
1770380281105-mdwuzashsa,genuine,0,0,0.008635,Trimodal (F+V+K),Logistic Regression
1770445678567-i71ayyh340i,genuine,0,0,0.008479,Trimodal (F+V+K),Logistic Regression
1770217090325-2egusipenph,genuine,0,0,0.006502,Trimodal (F+V+K),Logistic Regression
1770445750525-ngqmw95sj0f,genuine,0,0,0.036489,Trimodal (F+V+K),Logistic Regression
1770445434966-vjnehaefwq,genuine,0,0,0.022388,Trimodal (F+V+K),Logistic Regression
1770445718682-feaylk2v696,genuine,0,0,0.283379,Trimodal (F+V+K),Logistic Regression
1771183279674-6f82c2f9ntw,genuine,0,0,0.143473,Trimodal (F+V+K),Logistic Regression
1770445787080-lqw56ag66w,genuine,0,0,0.111635,Trimodal (F+V+K),Logistic Regression
1770480823736-i9brl5czgw,genuine,0,0,0.065879,Trimodal (F+V+K),Logistic Regression
